"field" "block_n" "trt_id" "entropy" "lower_ci" "upper_ci" "sigma" "mean_post" "posterior_prob"
"65" 1 15 5 1.86300394786138 -4.4937824125 0.980851696749999 1.55903246585992 -1.92115668352633 0.69
"66" 1 15 6 1.57864270623652 -1.70672433 2.709298855 1.17316376617276 0.717794237896667 0.98
"67" 1 15 7 1.67256338401505 -3.5942679175 1.4233394825 1.28868826321584 -1.39359169387567 0.896666666666667
"68" 1 15 8 2.30656327598915 -4.267057245 3.59650375 2.42935245589362 0.0242042020153333 0.91
"69" 1 15 9 2.05976123311063 -2.9905583825 4.0534590825 1.89804175592449 0.150707916323333 0.99
"70" 1 15 10 1.84261100408396 -0.3384591005 6.049448705 1.52756119106656 2.48474267849667 1
"71" 1 15 11 1.80712612469262 -1.32262007 4.974666445 1.47430632566624 2.97316100549667 0.99
"72" 1 15 12 2.03587584467182 -1.5379094375 5.3291462975 1.85324343378463 2.81356700503333 0.986666666666667
"73" 1 15 13 1.75739055229485 0.9818843785 6.91898314 1.40277444094511 3.95771278162067 1
"74" 1 15 14 1.77275161538318 -0.056468219125 5.31781373 1.42448889923197 3.24874725666 1
"75" 1 15 15 1.85113973839863 -0.35833342 5.8556049 1.54064506976792 2.73829584146333 0.996666666666667
"76" 1 20 1 1.91394140741481 -6.9372409225 -0.341575660000004 1.64050295420048 -3.96119921025167 NA
"77" 1 20 2 1.59927818294095 -3.84186593 1.1400924975 1.19762406674794 -1.23374073909167 0.976666666666667
"78" 1 20 3 1.57359431170167 -5.0049311625 -1.1447251575 1.16725609729581 -3.380235271 0.606666666666667
"79" 1 20 4 1.61267603557972 -1.972845115 2.19645371 1.21377762739049 0.283245288503333 0.973333333333333
"80" 1 20 5 1.52936694225475 -5.6190046925 -1.0585144475 1.11675639653896 -2.58398457153333 0.786666666666667
"81" 1 20 6 2.04399618507156 -2.9756519325 3.25358057 1.86835366840432 -0.1409401747 1
"82" 1 20 7 1.76376586174523 -3.652771845 1.7117898425 1.41174613035585 -1.06682203279667 0.903333333333333
"83" 1 20 8 1.98412154366069 -1.4385438425 4.3647516925 1.75976980952911 1.05453221261633 1
"84" 1 20 9 1.78961150363075 -0.8300213925 4.0365226525 1.44870922514903 1.24704366756542 1
"85" 1 20 10 1.61091558466506 -0.38859773575 4.2620176025 1.21164271121509 1.84026926659 1
"86" 1 20 11 1.63937710907896 0.42784370625 5.3028779875 1.24662334963713 2.4633162312 1
"87" 1 20 12 1.66160069714262 0.2332662275 4.338762535 1.27463793271128 1.91139066244667 1
"88" 1 20 13 2.14123199959258 0.4987803585 6.859356515 2.05915039143882 3.78917681226667 1
"89" 1 20 14 1.8869882735349 1.6184258575 7.6073714025 1.59687682989252 4.83803126033333 1
"90" 1 20 15 2.24951222545249 0.1639969105 7.880218475 2.29463477691115 4.4606302665 1
"91" 2 4 1 2.41764162639266 -9.233762965 -0.80924593375 2.71475875528135 -4.71107158183333 NA
"92" 2 4 2 1.44588936758928 -4.27226731 -0.533170537750001 1.02731729283492 -2.88134085763333 0.666666666666667
"93" 2 4 3 1.55686174971173 -4.9710422175 -0.47117602525 1.14788740808559 -2.12796402671333 0.906666666666667
"94" 2 4 4 2.17209933893162 -6.971139755 1.40465854499999 2.1237020286884 -3.33903005743 0.7
"95" 2 4 5 2.25224162533417 -6.1407785375 0.62237125225 2.30090630766403 -2.48720495342333 0.89
"96" 2 4 6 1.36737133795628 -1.548913025 2.22160656 0.94973982981425 0.187215486848333 1
"97" 2 4 7 2.58395321024272 -4.88741273 4.4871387175 3.20596993700027 -0.857526399798 0.666666666666667
"98" 2 4 8 1.63007011149801 -1.1584439425 3.55525488 1.23507485341189 1.65836221188367 1
"99" 2 4 9 1.57967691302701 -3.5901936275 1.527830165 1.17437768772086 -0.3581055031698 0.993333333333333
"100" 2 4 10 2.2374247520255 -4.6474912325 2.300116455 2.26706539776201 -0.750345173283333 0.983333333333333
"101" 2 4 11 1.26134599664303 2.332435255 5.46207818 0.854197765426936 4.00057304666667 1
"102" 2 4 12 1.88764890147474 -1.0194752275 4.3150286075 1.59793211988147 1.73385714742 1
"103" 2 4 13 1.91001368671185 0.625144841 6.692216905 1.63407215424439 3.18162117353333 1
"104" 2 4 14 1.76867570911986 2.922848955 8.40100724 1.41869463247132 5.68740956166667 1
"105" 2 4 15 1.90312965651346 0.7845562655 6.518900745 1.62286178272772 4.61617241786667 1
"106" 2 6 1 2.2970785049566 -9.2315085275 -2.1962816925 2.40641953277645 -4.54481266466667 NA
"107" 2 6 2 1.8587094332519 -6.666726625 -1.03663995 1.5523515341061 -2.95164357466667 0.673333333333333
"108" 2 6 3 1.78332065619644 -3.5280179025 1.6633387525 1.43962422258088 -0.8376308801913 1
"109" 2 6 4 1.97151220141029 -4.4760685375 0.817161488249999 1.73771958131247 -1.58752796476333 0.666666666666667
"110" 2 6 5 1.79444253642492 -4.875011735 -0.78937059775 1.45572491980556 -2.86259897183333 0.47
